Module Tracking #	Topic translationAcademy	GLT Learner Outcome	GST Learner Outcome	GLTN Learner Outcome	OL Translator Learning  Outcome	Lesson Plan	Examples
T.7.1.10	Litotes	Retains the two negative words to give a string positive meaning.	Replaces litotes with words that convey the strong positive meaning	Explains the meaning that is conveyed using the two negative words. 	Translates litotes if it doesn’t weakens or cancels out the positive meaning or replace litotes with words that convey the positive meaning. 		Zeph 3:5, Joshua 10:6, Joshua 11:15, Joshua 21:44, Joshua 21:45, Joshua 22:3, Joshua 22:17
T.7.1.11	Merism	Retains the two extreme terms to represent the whole	Replaces merism with what it represents. 	Explains the whole that the two extreme terms represent. 	Translate merism literally or translates what merism represents or translates merism as well as the two extreme parts. 		Haggai 2:21, 2 Sam 14:19, 2 Sam 14:25, 2 Sam 17:11, 2 Sam 22:8, 2 Tim 1:3, 2 Tim 4:1, 2 Tim 4:2, 
T.7.1.12	Metaphor	Retains literal metaphor	Replaces metaphor with meaning	Explains the significance of the metaphor 	Translates the metaphor so that the readers understand the metaphor accurately or replaces it with the meaning or uses a metaphor from their own language.	https://docs.google.com/document/d/1QuxM2Jkyd4ZN0ybWIp1OrloJysxU5dT1/edit?usp=sharing&ouid=110236274037578430324&rtpof=true&sd=true	Malachi 4:2, Amos 4:1, Luke 13:32, John 6:35, Matthew 16:6-7,
T.7.1.13	Metonymy	Retains associated thing	replaces associated thing with what it is representing	Explains how the word or phrase is a subsitute for something closely associated with it	translates in a way that communicates the meaning accurately so people do not misunderstand what is being talked about	https://docs.google.com/document/d/1sOoycgE2uigSghE-FoLdeHD84saoV9O0/edit?usp=sharing&ouid=110236274037578430324&rtpof=true&sd=true	1 John 1:17, Luke 22:20, Luke 1:32, Luke 1:64, Luke 3:7
T.7.1.14	Parallelism	Retains both the clauses of the Parallelism, where the second clause is used to complete the idea or emphasize or intensify the meaning of the first clause. 	Replaces the second clause with words that emphasize the truth such as “truly” or “certainly” or uses words like “very,” “completely” or “all” to intensify an idea given by Parallelism. 	Explains the purpose of the parallelism, whether it is used to explain the idea, emphasize or intensify the idea or complete the idea. 	Translates the parallelism in a way that people understand its purpose accurately or else replaces the second clause with words that emphasize the truth such as “truly” or “certainly” or uses words like “very,” “completely” or “all” to intensify an idea given by Parallelism. 	https://docs.google.com/document/d/1YJntpGyRuHXd1ElzBPqUyF76ozCg2064/edit?usp=sharing&ouid=110236274037578430324&rtpof=true&sd=true	Judges 16:13, Proverbs 5:21, Micah 6:2 1, Psalm 3:4, Psalm 1:6 
T.7.1.15	Parallelism with the Same Meaning	Retains both the clauses with same meaning	Make it clear that the two clauses express the same meaning and combines both the clauses into one	Explains that both the clauses convey the same meaning and that one should not look for a difference in meaning.	Translates the synonymous parallelism as it is if it is not odd to say the same thing twice or else combines both the clauses into one.		Psalm 119:105, Ruth 2:19, Ruth 4:13, Jonah 2:5, 1 Tim 6:5
T.7.1.16	Personification	keep inanimate object being talked about like a person or animal	Make it clear that the text is talking like these things are a person or animal. Use word such as "like" or "as" to make it clear the sentence is not to be taken literally. 	Explains what the personification is and provides an alternate translation	translates the personification so that the readers understand the personification correctly or else make explicit what the personification refers to. 	https://docs.google.com/document/d/1ASKCghgEHbWPbFEWrGpitLvEysD94nGk/edit?usp=sharing&ouid=110236274037578430324&rtpof=true&sd=true	Proverbs 8:1, Genesis 4:7, Matthew 6:24, Matthew 8:27
T.7.1.17	Predictive Past	Retains the past tense to refer to future events	Replaces the past tense with future tense or some other form that indicates that event will happen in future	Explain that the event will happen in future and provide an alternate translation	Translates in such a way that it is clear that the event will certainly happen in future by using future tense. 		Joshua 1:3, Joshua 8:1, Judges 4:14, Isaiah 10:28-29, Isaiah 34:2, James 5:2-3, Jude 1:11-12
T.7.1.18	Rhetorical Question.	Retains rhetorical question	replaces rhetorical question with its meaning and clearly expresses its emotions. 	Explain the purpose of using a question when no answer or information is expected in response. Provide an alternate translation	-Determine if a question is rhetorical -Translate so it is clearly a rhetorical question or else change the question into a statement that conveys its meaning.  	https://docs.google.com/document/d/1B2k4ZT561VwoiriBROgF5aqbsYLTDib_/edit?usp=sharing&ouid=110236274037578430324&rtpof=true&sd=true	1 Kings 21:7, Jeremiah 2:32, Job 3:11, Luke 1:43, Matthew 7:9, Acts 23:4
T.7.1.19	Simile	Retains the simile and comparison	replace the simile with the meaning	Explain how the two items compared are similar and provide an alternate translation without the simlie	Translates simile such that the comparison between the two items is clear to the reader or else replace the simile with its meaning or use a simile from the OL		Jude 1:10, James1:10, James 1:23, Judges 2:17, 5:31, 7:12
T.7.1.20	Synecdoche	Uses the only the part the figure refers to.	State specifically the whole the synecdoche refers to	Explains the whole that the part is representing and provides and alternate translation	Translates in a way so that the readers understand the right meaning of the synecdoche by using a synecdoche from the OL or stating clearly what the synecdoche refers to.	https://docs.google.com/document/d/1rTF0YY_15nR1O20-4WwJaTMTCLfz6_BY/edit?usp=sharing&ouid=110236274037578430324&rtpof=true&sd=true	Ecclesiastes 2:11, Luke 1:46, Mark 2:24
T.7.2	GRAMMAR						
T.7.2.2	Abstract Nouns	Keep Abstract Nouns of Original if grammatically possible	Replace with concrete forms such as verbal phrases, adjectives or adverbs	explain the abstract noun and provide an alternate translation	evaluate if they have an abstract noun that would communicate well or if they should replace it with a concrete form. Translate the abstract noun according to what they determine is their best practices	https://docs.google.com/document/d/1QvToVm2Gmqw3NnWV1NxF8KpOVIY1lFhD/edit?usp=sharing&ouid=110236274037578430324&rtpof=true&sd=true	2 Timothy 3:15, 1 Timothy 6:6, Luke 19:9, 2 Peter 3:9, 1 Corinthians 4:5
T.7.2.3	Active or Passive	1) Keep Passive voice if grammatically possible 2) Pseudo passive using an indefinite pronoun or third person pronoun (Someone healed the man.) or passive voice but stating the agent (The man was healed by Jesus.) 3) Causitive (The man was caused to be healed.) 4) if none of the above options work then it will have to be staed as active 5) use adjective	Replace with active voice and state who did the action. 	If a passive construction can be used then the note should simply state that an active form may be used and provide alternate translations.  If the GL does not have a passive option then they will need to explain that the OrigL used a passive and did not state who did the action. If there is a particular reason the passive was used in the verse the reason should be explained as well. Provide as much information as possible so that if it would be more natural for the OL to use a passive, they have the information they need to know how to do so. Also provide alternate translations even if they might be unnatural in the GL.	Choose the form that is clear and natural in their language. If possible retain passive voice or else use active voice. 	https://docs.google.com/document/d/1J8MltjGOwHpaecZtcORouMOeGDHYXmlQ/edit?usp=sharing&ouid=110236274037578430324&rtpof=true&sd=true	2Samuel 11:24, Judges 6:28, Luke 17:2, Jeremiah 37:21
	Collective Nouns - review article https://git.door43.org/unfoldingWord/en_ta/src/branch/master/translate/grammar-collectivenouns/01.md	1) Retain collective noun for a group. 2) Retain pronoun plurality.	1) Replace collective noun with plural noun or vice versa. 2) Replace collective noun with plural verbs and pronouns. 3) Use general collective noun.	Explain that the collective noun is a singular noun used to refer to plural noun. Explain if collective noun is replaced with plural noun use verb and pronoun in plural. 	If a corresponding collective noun is found in the OL use collective noun. If not then use a plural noun that means the same. 		2 Samuel 3:23, Habakkuk 3:17, Mark 2:13, John 14:1, Numbers 6:18.
T.7.2.4	Distinguishing versus Informing or Reminding	Retain the phrase and the noun in a sentence if the reader would understand the purpose.	1) Put the information in another part of the sentence and add words to show it’s purpose. 2) Express it in such a way to show that it is just an added information. You may add a small word or use punctuation marks like comma or parenthesis.	Explain the purpose of the phrase whether it is distinguishing or giving more information or reminding. Give alternate translation as well.	If it is clear in the OL retain the phrase or else state the information and its purpose explicitly to make it clear and natural.		Genesis 6:7, Genesis 17:17-18, Psalm 119:39, Proverbs 17:25, Exodus 26:33
T.7.2.5	Double Negatives	A GL uses these to either mean positive or negative. The GL can't retain them if it changes the meaning in that GL. 	Replace with single negative if it doesn't change the meaning, otherwise replace with a positive statement.	explain the meaning and the alternative way of stating it. Provide alternate translations	If the GL had to use a single negative to obtain correct meaning, the OL will need to rely on the tNote to know that the original double negative was there and to be sure what the meaning is. Then the OL can express that meaning using the appropriate form of negative for that OL.	https://docs.google.com/document/d/1vLO99BBZJ-HauLQZe_IJzMuN9BDjSZhV/edit?usp=sharing&ouid=110236274037578430324&rtpof=true&sd=true	2 Thesslonians 3:9, Hebrews 7:20, Titus 3:14, John 1:3, Hebrews 4:15
T.7.2.6	Ellipsis	Leave out missing information if at all possible	Fill in the missing information.	explain the ellipsis including what information was left out in the OrigL if the GL had to include it. Explain what words may be options to include and why. Provide an alternate translation  If it is not possible to leave out the missing information then the tNote should explaining that it is not present in the OrigL language but is necessary in the GL. Also explain the reason for the word that was chosen to be added.	Choose whether to include the info based on translaton style and/or clarity decisions.	https://docs.google.com/document/d/1pPJIkoT4z3g7B_IXn-cwpuTv70zCN6mq/edit?usp=sharing&ouid=110236274037578430324&rtpof=true&sd=true	Psalm 1:5, Psalm 29:6, 2Corinthians 1:6, Luke 18:40-41, Titus 1:4
T.7.2.7	Forms of You	Retain the Forms of You if the distinction between formal and informal is not applicable.	Replace the Form of You based on Formal or Informal 'You'. It can vary depending on if the speaker has authority over the other, if the speaker is older than the other, if the speaker is family member, relative, friend of the other.	Explain in each instance whether the Form of You used is formal or informal. 	If the OL has distinct words for formal and informal You then use the form appropriate in each instance. Use notes to understand each case. 	https://docs.google.com/document/d/11VblFEBAXFcXPfwSAaMqK7sVBJ7q6cud/edit?usp=sharing&ouid=110236274037578430324&rtpof=true&sd=true	Genesis 3:9, Luke 1:3-4, Matthew 6:9
T.7.2.8	Forms of 'You' - Dual/Plural	If the GL has dual and/or plural, the correct form is used	If the GL has dual and/or plural, the correct form is used	Explains whether the Form of you refers to singular or dual/plural form.	If OL does not have dual or plural forms of you, use the form that is natural and clear in their language		Mark 10:35-36, Mark 11:1-2, James 1:1-3
T.7.2.9	Forms of 'You' - Singular	If the GL has singular, the correct form is used	If the GL has singular, the correct form is used	Explains whether the Form of you refers to singular or dual/plural form.	Use the form that is natural and clear in their language.		Luke 18: 21,22, Acts 12:8, Titus 1:4,5, Titus 2:1
T.7.2.10	Generic Noun Phrases	Use the same wordings in ULT to refer people or things in general. 	If it is unclear that a general noun phrase is used then use words like the, a, anyone, people etc to indiciate that the noun phrase refers to general and into individual people or things. 	Explain generic noun phrase that is used and give alternate translations. 	Follow GST to clearly identify what/who is refered to by the general phrase. Or use any other way that is natural in your language		Proverbs 6:28, Proverbs 11:8, Proverbs 11:26, Proverbs 12:2
T.7.2.11	Go and Come	Retain word used in ULT.	Offer the alternative.	Explain the usage and direction of motion in each instance. 	Retain the word if it is clear or Use their language's way of addressing direction of motions. 		Genesis 7:1, Genesis 24:41, Deuteronomy 17:14, Luke 1:22, Luke 8:41, Luke 1:24
T.7.2.12	Nominal Adjectives	Retain the nominal adjective as in ULT	1. Use the adjective with a plural form of the noun that the adjective describes. 2. Use a noun phrase.	Explain that a nominal adjective uses adjectives as nouns to refer to a class of people. 	Retain nominal adjective if it is clear or else use a noun phrase or use adjective with plural noun that accurately describes it. 	https://docs.google.com/document/d/1bEc3I6G9hW84BMv0Ona9lUHiCrtHy0b4/edit?usp=sharing&ouid=110236274037578430324&rtpof=true&sd=true	2 Samuel 12:2, Job 15:29, Exodus 30:15, Psalms 125:3, Matthew 5:5 
T.7.2.13	Order of Events	Retain order of ULT.	Reorder in a chronological or logical sequence.	Notes will explain that the events or sequence can be reordered. Refers user to GST	Reorder the events, if reordering is required to make it more clear and natural in their language. If not retain the order of ULT.		Luke 3:20-21, Joshua 6:8-10, Revelation 5:2
T.7.2.14	Parts of Speech	Retain the various parts of speech as it is. 	Clarify any specific part of speech that is unclear. 	Give explanation about any word that is unclear and specify which part of speech it is. Refer users to GST for alternate translation.	Retain the parts of speech if it is clear. If not use the form that is natural and clear in their language.		
T.7.2.15	Possession	Keep the words from ULT if possible. 	1. Use an adjective to show that one describes the other. 2. Use a verb to show how the two are related. 2. If one of the nouns refers to an event, translate it as a verb	Explain the possessive relationship that is between the two nouns. Give possible alternate translation. 	Use their language's way of showing possesions. Use notes to understand the relationship between the nouns. 		1 Samuel 11:9, Luke 15:13, Matthew 9:14, Revelation 9:7, Mark 9:41
T.7.2.16	Verbs	Keep the verbs, its tense and aspect and subject object agreement as in ULT. 	Clarify any specific verb or its tense or aspect or subject or object that is unclear. 	Give explanation about any verb that used as noun or nouns that are used as verbs. Refer users to GST.	Use the strategy that will make it natural and clear in their language.		Mark 9:41, Proverbs 11:4, Deuteronomy 11:12, Acts 2:38, Psalm 91:8
T.7.2.17	When Masculine Words Include Women	Retain word used in ULT.	Clarify if GL word is unclear. 	Explain that this masculine noun/pronoun or generic noun phrase includes women also. 	If it is clear in their language to use masculine words to include women, then retain word. If not, they explicitly specify both men and women. Choose based on translaton style and/or clarity decisions.		Ecclesiastes 2:16, Proverbs 10:1, 2 Corinthians 8:1, Matthew 16:24-26, Mark 22:24
T.7.2.18	Word Order	Retain the word order in ULT	Reorder in the GL's preferred word order. 	Explain that reordering is possible. Give alternate translation.	Use their language’s preferred word order so that the meaning is accurate and clear and it sounds natural.		
T.7.3	PRONOUNS	Retain pronoun as in ULT.	Specify referent	Explain if the referent is unclear in the context. Use GST as reference. 	Choose based on translation style and/or clarity decisions.		
T.7.3.1	First, Second, or Third Person.	Retain person as in ULT.	Clarify referent if speaker or addressee is in 3rd person by using the third person phrase along with the pronoun “I” or “you” or Simply use the first person (“I”) or second person (“you”) instead of the third person.	usually no Note, relies on GST	Use the third person phrase along with the pronoun “I” or “you” or Simply use the first person (“I”) or second person (“you”) instead of the third person.		1 Samuel 17:34, Job 40:6, 9, Genesis 18:27, Matthew 18:35
T.7.3.2	Exclusive and Inclusive "We"	Expresses Exclusive/Inclusive if possible and if not explains in tNote	Expresses Exclusive/Inclusive if possible and if not explains in tNote	Explains exactly who was included in the plural pronoun	Use the pronoun that best reflects who is being described by the plural pronoun	https://docs.google.com/document/d/143f0UtZOqr8SbejBRDpkXzOWazFBTMIZ/edit?usp=sharing&ouid=110236274037578430324&rtpof=true&sd=true	Luke 9:13, 1 John1:2, Luke 2:15, Luke 8:22
T.7.3.3	Forms of "You" - Formal or Informal	Retain the Forms of You if the distinction between formal and informal is not applicable or else Distinguish if GL has that ability	Distinguish if GL has that ability depending on if the speaker has authority over the other, if the speaker is older than the other, if the speaker is family member, relative, friend of the other.	Explain in each instance whether the Form of You used is formal or informal. 	If the OL has distinct words for formal and informal You, then uses the form appropriate in each instance. Use notes to understand each case. 		Genesis 3:9, Luke 1:3-4, Matthew 6:9
T.7.3.4	Forms of "you" - Singular to a Crowd	Retain pronoun as in ULT.	Clarify that the you isn't singular but addresses a ccrowd. 	Indicate whether the you is singular or plural. Refer users to GST. 	If it is unnatural and unclear to use singular you to refer to a crowd then uses a plural pronoun as applicable in their language. 		Exodus 20:1-3, Amos 1:11, Matthew 6:1,2
T.7.3.5	Reflexive Pronouns	Retain pronoun as in ULT if possible in GL.	Translate based on the purpose of reflective pronoun used by emphazing the person, or indicate being alone or doing something alone. 	Explain the purpose of the reflexcive pronoun used in each instance. Give alternate translation. 	Uses the OL's way of indicating that same person fills two different roles or indicating being alone or doing something alone or emphazing a person. 		John 4:2, Mark 4:36-38, John 6:15, John 20:6-7, Matthew 8:17
T.7.3.6	Pronouns - When to Use Them	Use pronouns whenever it is used in ULT	Specify referent as much as possible	Explain if the referent is unclear in the context. Use GST as reference. 	Specifies the noun if it makes it more clear. If it is unnatural to uses noun again and again, uses their language's style of using pronouns without effecting clarity. 		John 3:1-3, Mark 3:1-2, Acts 25:13-14, Matthew 12:1-9
T.7.4	SENTENCES						
T.7.4.1	Sentence Structure	As much as possible keep complex structures that are in OM	Break complex grammar into two or more simpler sentences 	Usually no Note, relies on GST	Use the style that is clear and natural in their language. 		
T.7.4.2	Information Structure	Keep the information sructure of original if possible.	Arrange the information based on GL's information structure and its importance	Explain how the sentence can be rearanged to suit the information structure of the specific language.	Use the order in which information is arranged in their language. Rearrange the order of information if required. 		Mark 6:42, Luke 9:12, Luke 6:26, Mark 6:1
T.7.4.3	Sentence Types	Use the same sentence types.	Use the sentence type that best suits the function	Indicate the type of sentence. 	Use their language’s ways of showing that a sentence has a particular function to attain clarity and naturalness. 		Numbers 10:29 Genesis 9:25, Matthew 19:17, 21, Luke 6:39, Acts 16:29-31
T.7.4.3.1	Statements - Other Uses	Use statements as it is.	Use the sentence type or verb form that best suits to give commands or instructions, or make requests, or perform something. 	Explain the purpose of the statement is used for. Give aternate translation.	Follow GST model or use their language’s ways of expressing the purpose of the statement clearly and naturally. 		Genesis 3:17, 2 Kings 11:5, Matthew 8:2, Luke 2:5, John 1:6-8 
T.7.4.3.2	Imperatives - Other Uses	Retain imperatives if possible	1. Use statements to give information. 2. Use so to connect causative clauses. 3. Use if when imperative gives conditions.	Explain the function of the imperative clause. Give alternate translation. 	Translate using the natural form that fulfills the function of impertaive in the OL		Genesis 1:3, Genesis 26:2, Proverbs 4:6, Proverbs 22:6, Matthew 8:3
T.7.4.3.3	Exclamations	Retain exclamation if possible	Clearly tell how the person felt. Either translate the exclamation word with a sentence that shows the feeling. or use a word that emphasizes the part of the sentence that brings about the strong feeling. 	Explain the strong emtion that is expressed by the exclamation.	Choose most natural form for that function in the OL. Use an exclamation word from the OL that shows the strong feeling or translate the exclamation word with a sentence that shows the feeling.	https://docs.google.com/document/d/1mjZOBoJsvnPdAYsqs6tZVfGJeLOu3Lg8/edit?usp=sharing&ouid=110236274037578430324&rtpof=true&sd=true	1 Samuel 4:8
	CONNECTING WORDS	Retain form as in ULT	Offer an alternative connecting word or method. Most often, the UST will start a new sentence.	Explain the relationship between the ideas or sentences that the connecting words or phrases stands for. 	Use the OL’s way indicating the relatonship between the ideas to get maximum clarity and naturalness. 	https://docs.google.com/document/d/199TiOKbEgJGbwABxyrZ1_KP9tVihQmTe/edit?usp=sharing&ouid=110236274037578430324&rtpof=true&sd=true	Galatians 1:16-18, Matthew 5:19, 2 Corinthians 6:3-4, Mark 1:17-18
	Sequential Clauses	Retain form as in ULT	Use a connecting word that makes the sequence clear or reorder the clauses to properly indicate the sequence. 	Explains the connecting word used and sequence of events in the different clauses. 	Use OL's way of indicating sequence of events.		Isaiah 7:16, Luke 1:39-40, Revelation 10:10
	Simultaneous Clauses	Retain form as in ULT	Use a connecting word that makes it clear that events happened simultaneously or make all the clauses with a connector to indicate the simultaneous events. 	Explains the connecting word used and that events in the different clauses are happening simultaneously. 	Use OL's way of indicating simultaneous events.	https://docs.google.com/document/d/1nFM4M1wIm5gfdR-V9FCj7fQL4GmYD4ev/edit?usp=sharing&ouid=110236274037578430324&rtpof=true&sd=true	Luke 4:25, Luke 1:21, Acts 1:10
	Background Clauses	Retain as in the ULT	Try to indicate that this is background info, but this may rely primarily on the tNote.	Explains that one of the clause gives background information. 	Choose most natural form to show background information in the OL	https://docs.google.com/document/d/15e_W7G5VsBghkvgObD7ub8UMikC01oEy/edit?usp=sharing&ouid=110236274037578430324&rtpof=true&sd=true	1 Kings 11:4, Luke 2:41-42, Luke 2:6, Luke 3:1-2
	Goal or Purpose Statement	Retain as in the ULT	Offer the alternative order and make certain the goal is clear	Explains that the second event is the goal/ purpose of the first write. 	Choose most natural form to express the goal/purpose in the OL	https://docs.google.com/document/d/1Cz4JQBiRJnA0D2wqzpQcVOdQMpsVb3i1/edit?usp=sharing&ouid=110236274037578430324&rtpof=true&sd=true	Ruth 2:16, Joshua 1:7, Luke 2:15, Matthew 19:17, Matthew 21:38-39
	Reason-Result Clauses	Retain as in the ULT	Offer the alternative order and make certain the reason & result relationship is clear	Explains the which clause is reason and which clause is the result. 	Choose most natural form to indicate the reason and result in the OL	https://docs.google.com/document/d/1m8Tn-cKpGFznkVLMu-f8aapvYQK-vzQh/edit?usp=sharing&ouid=110236274037578430324&rtpof=true&sd=true	Genesis 2:3, Joshua 5:7, Matthew 8:24, Luke 6:20, Acts 21:34
	Contrast Clauses	Retain as in the ULT	Offer an alternative connecting word or method. Most often, the UST will start a new sentence. Make certain the contrast is clear as well as what it is that is being contrasted.	Explain the things that are being contrasted in the two clauses. 	Choose most natural form to express contrast between two things in the OL	https://docs.google.com/document/d/1mVHy1BU-dvy81l7CYMfYdfHYhO84BZ22/edit?usp=sharing&ouid=110236274037578430324&rtpof=true&sd=true	Luke 22:27, Luke 8:29, Acts 7:46-48
	Factual Conditions	Retain as in the ULT	State it as a statement without the condition.	Explain why the factual condition was used in the clause. 	Choose most natural form to express conditions that are true in the OL		1 Kings 18:21, Malachi 1:6
	Contrary-to-Fact Conditions	Retain as in the ULT	Restate the untrue condition as a statement or a wish or a negative sentence. 	Explain that the speaker belives that the statement is untrue. 	Choose most natural form to express conditions that are untrue in the OL		1 Kings 18:21, Exodus 16:3, Judges 13:23, Matthew 11:21
	Hypothetical Conditions	Keep statement as in the original	clarify that it is a hypothetical statement or wish	Explain the hypothetical condition that the second event will only take place if the first event takes place or is fulfilled in some way. 	Choose most natural form to express hypthetical conditions in the OL	https://docs.google.com/document/d/1jBhSknPdWQKqSqdcNEjTt7x-qQ9qUy_7/edit?usp=sharing&ouid=110236274037578430324&rtpof=true&sd=true	Genesis 4:7, Acts 5:38-39
	Exception Clauses	Retain as in the ULT	1. Rephrase the clause without the contradiction or negative. 2. Reverse the order of the clauses, so that the exception is stated first, and then the larger group is named second. 	Show which item or person is excluded from the group. 	Choose most natural form to show which item/person is excluded from a group in the OL	https://docs.google.com/document/d/1pbmpguO-ZFG1C9fqyREkGXy3HfGaoqD7/edit?usp=sharing&ouid=110236274037578430324&rtpof=true&sd=true	Genesis 32:26, Ruth 4:4, 1 Samuel 30:17
T.7.5	QUOTES						
T.7.5.1	Quotations and Quote Margins	Retain form as in ULT	Put the quote margin where it is most clearly understood and use only one verb to represent "said."	Mark who said and to whom if it is unclear in the context. Also if two verbs are used suggest alternative. 	Place the quote margin where it is placed in OL.  Use one verb for said. 		Amos 7:3, Deuteronomy 32:20, Luke 1:60, Luke 3:12-13, Acts 25:5
T.7.5.2	Direct and Indirect Quotations.	Retain form as in ULT	Offer the alternative. Use direct quote if indirect qoute is unclear and vice versa	Indicate the portion of text that has the indirect qoutation. Give the alternate translation. 	Choose most natural form for reporting speech in the OL		Luke 5:14, Luke 17:20-21
T.7.5.3	Quote Markings	Retain form as in ULT	1. Alternate two types of quote marks to show layers of quotations. 2. Translate some quotes as indirect quote to use fewer quotation marks. 	Show how qoute markings can be used to show the layers of quotaions. 	Use the quotation marks that are used in OL.		Genesis 20:10-13, 2 Kings 1:8, John 5:12, Luke 19:29-31
T.7.5.4	Quotes Within Quotes	Retain form as in ULT	1. Translate all quotes as direct quote and clarify who is speaking and to whom. 2. Translate some quotes as indirect quote to distinguish the quotes within quotes. 	Indicate clearly to whom does the pronouns used in the qoute margins refer to. 	Choose the form that is most clear and natural for reporting speech in the OL		Genesis 20:10-13, 2 Kings 1:6, Acts 22:28, Matthew 25:4-5, John 18:37
T.7.6	WRITING STYLES (Discourse)						
T.7.6.1	Types of Writing	Retain form as in ULT	Retain the writing styles and discourse features but simplify the complexities of the language. 	Identify the type of writing and complex discourse features.	Choose the writing style and the discourse features of OL to get most clarity and naturalness. 		
